WallStreetBets Sentiment Summary
Report generated on: 2025-08-30 17:49:19

--- TICKERS WITH UPCOMING EARNINGS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
PB,1,0.296,0.3,69.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ULTA,2,0.1109,0.22,492.73,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HAS,1,0.1779,0.18,81.17,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NGL,1,0.1779,0.18,5.41,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ALOT,1,0.128,0.13,11.42,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IBM,1,0.0,0.0,243.49,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CVNA,1,0.0,0.0,371.92,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BBBY,1,0.0,0.0,9.01,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AP,1,0.0,0.0,2.72,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ED,1,0.0,0.0,98.23,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
VC,1,0.0,0.0,123.96,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TECH,1,0.0,0.0,54.63,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SF,1,0.0,0.0,115.29,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
PEP,1,0.0,0.0,148.65,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
PH,1,0.0,0.0,759.35,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ICE,2,0.0,0.0,176.6,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HR,1,0.0,0.0,17.38,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
FLY,1,0.0,0.0,45.37,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
STAY,1,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ORCL,1,0.0,0.0,226.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
RYAAY,1,0.0,0.0,63.47,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AMD,4,-0.0034,-0.01,162.63,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MSTR,1,-0.0516,-0.05,334.41,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
EGO,1,-0.1116,-0.11,24.78,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NOW,1,-0.1531,-0.15,917.46,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GOOGL,1,-0.212,-0.21,212.91,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AEO,2,-0.1132,-0.23,12.94,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UAL,1,-0.2732,-0.27,105.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
DAL,1,-0.2732,-0.27,61.78,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TACO,3,-0.1023,-0.31,10.33,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TWLO,1,-0.3182,-0.32,105.61,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SRE,1,-0.4329,-0.43,82.56,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TD,3,-0.1573,-0.47,75.14,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BE,1,-0.4753,-0.48,52.94,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ON,1,-0.4753,-0.48,49.59,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ARE,3,-0.1802,-0.54,82.44,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IBKR,2,-0.2814,-0.56,62.24,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
OUT,1,-0.5848,-0.58,18.68,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NVDA,9,-0.0652,-0.59,174.18,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SC,8,-0.0744,-0.6,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
JD,5,-0.1289,-0.64,31.07,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SJM,1,-0.6486,-0.65,110.51,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LAWS,1,-0.7003,-0.7,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ALL,4,-0.1751,-0.7,203.45,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
PM,6,-0.1195,-0.72,167.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GL,1,-0.737,-0.74,139.95,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
WH,2,-0.3815,-0.76,86.61,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ET,1,-0.8316,-0.83,17.72,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BK,1,-0.8807,-0.88,105.6,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TRUE,1,-0.9078,-0.91,2.2,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MOST,1,-0.9416,-0.94,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HUGE,1,-0.985,-0.98,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TC,2,-0.5676,-1.14,13.1298,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ANY,2,-0.7653,-1.53,0.6167,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TA,2,-0.8126,-1.63,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IT,3,-0.5837,-1.75,251.19,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BABA,3,-0.7935,-2.38,135.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
RH,13,-0.8068,-10.49,225.67,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A


'Breakeven % Change' is the stock price % change needed for the 'Top Play' option to become profitable at expiration.
'Sentiment' is now weighted by the upvotes of each mention.
